no,Nama,Alamat,Latitude,Longtitude,Kode_Pos,Luas,Kapasitas,Keterangan_Lantai,Kode_Wilayah_1,Kode_Wilayah_2,Link_Maps,Jenis_Bencana
70,Balai Desa Pekuncen,"Pekuncen, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.629476772,109.2146663,\\N,0,0,\\N,3301180011,3301180,https://goo.gl/maps/1bepg6mBtVVHtpDB7,"Angin kencang, Tanah longsor, dan Gempa bumi"
71,Balai Desa Bajing Kulon,"Jl. Kepudang No.12, RT.03/RW.06, Rumput, Bajing Kulon, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.626297792,109.2381706,\\N,0,0,\\N,3301180012,3301180,https://goo.gl/maps/zPK4KxHmw9pDr6wF8,"Angin kencang, Tanah longsor, dan Gempa bumi"
72,Balai Desa Kedawung,"Mreneng Wetan, Kedawung, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.474557311,109.4078955,\\N,0,0,\\N,3301180013,3301180,https://goo.gl/maps/J4g1fb7WmuBk4NFZA,"Angin kencang, Tanah longsor, dan Gempa bumi"
73,Balai Desa Mujur,"Jalan Simpang Tiga Raya, Kroya, Bander, Mujur, Cilacap, Kabupaten Cilacap, Jawa Tengah 53282",-7.612273016,109.2523055,\\N,0,0,\\N,3301180014,3301180,https://goo.gl/maps/fas3mQHW6NCYhJdz6,"Angin kencang, Tanah longsor, dan Gempa bumi"
74,Balai Desa Gentasari,"Bayeman, Gentasari, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.601690492,109.2195852,\\N,0,0,\\N,3301180015,3301180,https://goo.gl/maps/LkxVKGzFAuUqVQTp6,"Angin kencang, Tanah longsor, dan Gempa bumi"
75,Balai Desa Mujur Lor,"Jl. Daendeles No.01, Rawaseser, Mujur Lor, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.599457594,109.2480218,\\N,0,0,\\N,3301180016,3301180,https://goo.gl/maps/FQxqgyCwCm2Tyi4S8,"Angin kencang, Tanah longsor, dan Gempa bumi"
76,Balai Desa Buntu,"Bangsakidul, Buntu, Kec. Kroya, Kabupaten Cilacap, Jawa Tengah 53282",-7.588461976,109.2511089,\\N,0,0,\\N,3301180017,3301180,https://goo.gl/maps/EKwJJc4zBz1qZadi6,"Angin kencang, Tanah longsor, dan Gempa bumi"
77,Balai Desa Widarapayung Kulon,"Jl. Diponegoro, No. 15, Widarapayung Wetan, Binangun, Jatimalang, Widarapayung Kulon, Binangun, Kabupaten Cilacap, Jawa Tengah 5",-7.685947302,109.2492646,\\N,0,0,\\N,3301190001,3301190,https://goo.gl/maps/9TpA138Kv4RpZqKYA,"Angin kencang, Tanah longsor, dan Gempa bumi"
78,Balai Desa Sidayu,"Jl. Rambutan, Pangungsari, Sidayu, Binangun, Kabupaten Cilacap, Jawa Tengah 53281",-7.685295441,109.253435,\\N,0,0,\\N,3301190002,3301190,https://goo.gl/maps/FVvJoKPxieyY9aKcA,"Angin kencang, Tanah longsor, dan Gempa bumi"
79,Balai Desa Widarapayung Wetan,"Jln. Diponegoro No. 172 Desa Widarapayung Wetan, Binangun, Kampungtengah, Widarapayung Wetan, Cilacap, Kabupaten Cilacap, Jawa T",-7.687451868,109.2657139,\\N,0,0,\\N,3301190003,3301190,https://goo.gl/maps/kXYR5av2gpEwucog9,"Angin kencang, Tanah longsor, dan Gempa bumi"
80,Balai Desa Sidaurip,"Jl. Perintis No.144, Sidaurip, Kec. Gandrungmangu, Kabupaten Cilacap, Jawa Tengah 53254",-7.548642749,108.8378654,\\N,0,0,\\N,3301100002,3301100,https://goo.gl/maps/BZjKtyzUyjjAjgM59,"Angin kencang, Tanah longsor, dan Gempa bumi"
81,Balai Desa Pagubugan Kulon,"Jl. Jetis Km.39, RT.14/RW.05, Pangungan Wetan, Pagubugan Kulon, Binangun, Kabupaten Cilacap, Jawa Tengah 53283",-7.69282908,109.3040652,\\N,0,0,\\N,3301190005,3301190,https://goo.gl/maps/6CynaXFjJJ7NWsd57,"Angin kencang, Tanah longsor, dan Gempa bumi"
82,Balai Desa Pagubugan,"Jl. Kenari, Purwadadi, Pagubugan, Binangun, Kabupaten Cilacap, Jawa Tengah 53283",-7.690016834,109.3135334,\\N,0,0,\\N,3301190006,3301190,https://goo.gl/maps/LcVQtUL7Z8mWtxcdA,"Angin kencang, Tanah longsor, dan Gempa bumi"
83,Balai Desa Karangnangka,"Jl. Asisten Sayid, Sawah,Ladang, Karangnangka, Binangun, Kabupaten Cilacap, Jawa Tengah 53283",-7.664887272,109.3187524,\\N,0,0,\\N,3301190007,3301190,https://goo.gl/maps/mWvmri6Gq5h863iG8,"Angin kencang, Tanah longsor, dan Gempa bumi"
84,Balai Desa Kemojing,"Jl. Danasri  Pagubugan, Kemoning Wetan, Kemojing, Binangun, Kabupaten Cilacap, Jawa Tengah 53281",-7.660380287,109.3024203,\\N,0,0,\\N,3301190008,3301190,https://goo.gl/maps/jNK3hT1cCDC6zGxR7,"Angin kencang, Tanah longsor, dan Gempa bumi"
